Country,Year,Number of Visits
Cambodia,2000,1
Cambodia,2002,1
Cambodia,2006,1
Cambodia,2012,2
Cambodia,2016,1
Cambodia,2018,1
Indonesia,2001,1
Indonesia,2005,1
Indonesia,2011,1
Indonesia,2013,1
Indonesia,2018,1
Malaysia,1999,1
Malaysia,2005,1
Malaysia,2009,1
Malaysia,2011,1
Malaysia,2013,1
Malaysia,2015,1
Myanmar,2001,1
Myanmar,2010,1
Myanmar,2014,1
Myanmar,2020,1
Philippines,1999,1
Philippines,2005,1
Philippines,2007,1
Philippines,2017,1
Philippines,2018,1
Singapore,1999,1
Singapore,2007,1
Singapore,2009,1
Singapore,2015,1
Singapore,2018,1
Thailand,1999,1
Thailand,2001,1
Thailand,2003,1
Thailand,2012,1
Thailand,2013,1
Thailand,2019,1
Vietnam,1999,1
Vietnam,2002,1
Vietnam,2004,1
Vietnam,2005,1
Vietnam,2006,1
Vietnam,2013,1
Vietnam,2015,1
Vietnam,2017,1
