Country,Year,Number of Visits
India,2002,1
India,2005,1
India,2006,1
India,2010,1
India,2013,1
India,2014,1
Kazakhstan,1998,1
Kazakhstan,2001,1
Kazakhstan,2003,1
Kazakhstan,2005,1
Kazakhstan,2007,1
Kazakhstan,2008,1
Kazakhstan,2009,1
Kazakhstan,2010,1
Kazakhstan,2011,1
Kazakhstan,2013,1
Kazakhstan,2014,1
Kazakhstan,2015,1
Kazakhstan,2016,1
Kazakhstan,2017,1
Pakistan,2001,1
Pakistan,2005,1
Pakistan,2006,1
Pakistan,2010,1
Pakistan,2013,1
Pakistan,2015,1
Russian Federation,1998,2
Russian Federation,1999,1
Russian Federation,2001,2
Russian Federation,2003,1
Russian Federation,2004,1
Russian Federation,2005,1
Russian Federation,2007,2
Russian Federation,2008,1
Russian Federation,2009,1
Russian Federation,2010,1
Russian Federation,2011,1
Russian Federation,2012,1
Russian Federation,2013,1
Russian Federation,2014,1
Russian Federation,2015,1
Russian Federation,2016,1
Russian Federation,2017,1
Russian Federation,2019,2
Tajikistan,2000,1
Tajikistan,2006,1
Tajikistan,2008,1
Tajikistan,2010,1
Tajikistan,2014,1
Tajikistan,2018,1
Tajikistan,2019,1
Uzbekistan,2004,1
Uzbekistan,2007,1
Uzbekistan,2010,1
Uzbekistan,2013,1
Uzbekistan,2016,1
Uzbekistan,2019,1
