Year,Country,Number of Visits,Visit_to_Chair
2001,China,,False
2002,Russia,,False
2003,Russia,,False
2004,Uzbekistan,1.0,True
2005,Kazakhstan,1.0,True
2006,China,,False
2007,Kyrgyzstan,,False
2008,Tajikistan,1.0,True
2009,Russia,,False
2010,Uzbekistan,1.0,True
2011,Kazakhstan,1.0,True
2012,China,,False
2013,Kyrgyzstan,,False
2014,Tajikistan,1.0,True
2015,Russia,,False
2016,Uzbekistan,1.0,True
2017,Kazakhstan,1.0,True
2018,China,,False
2019,Kyrgyzstan,,False
2020,Russia,,False
2021,Tajikistan,,False
2022,Uzbekistan,,False
2023,India,,False
2024,Kazakhstan,,False
2025,China,,False
